objectid,year,state,agency,fire_name,alarm_date,containment_date,cause,collection_method,management_objective,gis_calculated_acres,decades,shape__area,shape__length
211,2025,CA,CDF,NINETY NINE,2025-05-09,2025-05-09,11,1,1.0,32.16321,2020-2025,219373.7422,3674.912322
212,2025,CA,CDF,VLECK,2025-09-29,2025-09-29,2,1,1.0,32.07587,2020-2025,212152.7969,2439.778075
213,2025,CA,CDF,BAXTER,2025-06-03,2025-06-04,1,1,1.0,31.69332,2020-2025,201837.5313,3468.636907
214,2025,CA,CDF,5-4,2025-08-27,2025-08-27,1,3,1.0,31.44775,2020-2025,259027.1641,5170.094441
215,2025,CA,CDF,STONEWALL,2025-08-31,2025-08-31,7,7,1.0,31.06484,2020-2025,194774.9414,2252.738934
216,2025,CA,LRA,LAKE,2025-06-10,2025-06-11,14,1,1.0,30.47568,2020-2025,184714.793,1737.651405
217,2025,CA,LRA,OLIVAS,2025-01-08,2025-01-09,14,2,1.0,30.10198,2020-2025,178677.457,3702.304442
218,2025,CA,CDF,PANOCHE,2025-04-20,2025-04-20,11,5,1.0,29.94425,2020-2025,188571.6055,2500.771991
219,2025,CA,USF,HIDDEN,2025-06-10,2025-06-15,1,8,1.0,29.67354,2020-2025,159451.6523,1799.993799
220,2025,CA,USF,WILLOW,2025-06-11,2025-06-14,1,4,1.0,29.48021,2020-2025,214780.2422,3122.366933
